"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",-1
"This quiet , introspective and entertaining independent is worth seeking .",1
"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",-1
"I suspect , would have a hard time sitting through this one .",-1
a source of high hilarity,1
would have a hard time sitting through this one .,-1
would have a hard time sitting through this one,-1
have a hard time sitting through this one,-1
a hard time sitting through this one,-1
"I still like Moonlight Mile , better judgment be damned .",1
", this one is a sweet and modest and ultimately winning story .",1
this one is a sweet and modest and ultimately winning story .,1
is a sweet and modest and ultimately winning story .,1
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",1
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera",1
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",1
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",1
A welcome relief from baseball movies that try too hard to be mythic,1
a Shakespearean tragedy,-1
The performances are an absolute joy .,1